Commodity, Weight in Kg, Price in Rs
Lemon, 1, 55
Tomato/Thakkali 1st Quality, 1, 20 to 25
Tomato/Thakkali 2nd Quality, 1, 10
Small Onion, 1, 80 to 110
Bellary (Big Onion), 1, 12 to 14
Beans 1st Quality, –, 40 to 60
Beans 2nd Quality, 1, 35 to 55
Carrot 1st Quality, 1, 60 to 65
Carrot 2nd Quality, 1, 55 to 60
Vendai Kai/Lady Finger, 1, 24
Maram Murungai, 1, 24
Chedi Murungai, 1, 32
Avarai Ottu, 1, 65
Pachai Payaru, 1, 25
Vellai Payaru, 1, 15
Suraikai, 1, 11
Beetroot, 1, 28
Sunami Sambar, 1, 12 to 18
Pusanikai, 1, 5.50 to 6.50
Kalla Manga/Mango, 1, 11
Orutu Manga/Mango, 1, 7 to 9
Potato 1st Quality, 1, 15 to 18
Potato 2nd Quality, 1, 10
Coconut 1st Quality, –, 26 to 29
Coconut 2nd Quality, –, 21 to 24
Green Chilli, 1, 40 to 45
Cauliflower 1st Quality, –, 25
Cauliflower 2nd Quality, –, 20
Katharikai Pachai, 1, 30
Katharikai ootha, 1, 30
Valai Thar, –, 29
Karuveppilai/Curry Leaf, 1 Kattu, 29
Pudalangai/Snake gourd 1st Quality, 1, 22
Pudalangai/Snake gourd 2nd Quality, 1, 15
Kothamalli 1st Quality, 1 kattu, 160 to 200
Kothamalli 2nd Quality, 1 kattu, 150 to 190
Mullangi 1st Quality, 1, 30 to 35
Mullangi 2nd Quality, 1, 25 to 30
Inji/Ginger, 1, 25 to 30
Butter Beans, 1, 160
Mutta Kose, 1, 15 to 18
Pachai Pattani, 1, 160
Pakarkai, 1, 30 to 35
Nookal, 1, 30
Chaw Chaw, 1, 17
Kovakkai, 1, 17
Kothavarangai, 1, 22
Nellikai, 1, 40 to 45
Narthangai, 1, 30
Vellarikai, 1, 24
