,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Belt Beans / Avarai Belt, 1, 25,2016-11-3
1,Beans Kolee / Avarai Kolee, 1, 25,2016-11-3
2,Avarai ottu, 1, –,2016-11-3
3,Beans, 1, 35,2016-11-3
4,Beetroot, 1, 5,2016-11-3
5,Bellary / Big Onion, 1, 16,2016-11-3
6,Cauliflower, 1 Flower, 15,2016-11-3
7,Small Onion / Chinna Vengayam, 1, 10,2016-11-3
8,Chaw Chaw, 1, 25,2016-11-3
9,Disco Brinjal / Kaththari kai Disco, 1, 8,2016-11-3
10,Green Brinjal / Kaththari Kai Pachai, 1, 10,2016-11-3
11,Cluster Beans / Kothavarai, 1, 18,2016-11-3
12,Samba Chilli / Milagai Samba, 1, 28,2016-11-3
13,Round Chilli / Milagai Urundai, 1, 28,2016-11-3
14,Radish / Mullangi, 1, 8,2016-11-3
15,Drumstick / Murungai Chedi, 1, 22,2016-11-3
16,Drumstick / Murungai Maram, 1, 15,2016-11-3
17,Nelli Kai, 1, 27,2016-11-3
18,Bitter Gourd / Pakar kai, 1, –,2016-11-3
19,Perkangkai, 1, 20,2016-11-3
20,Snake Guard / Pudalai, 1, 12,2016-11-3
21,Red Pumpkin / Red Pusanikkai, 1, 5,2016-11-3
22,Sambar Vellari, 1, 7,2016-11-3
23,Bottle gourd / Suraikai, 1, 6,2016-11-3
24,Tomato / Thakkali, 1, 4,2016-11-3
25,Thatta payaru, 1, 17,2016-11-3
26,Lady’s Finger / Venda Kai, 1, 12,2016-11-3
27,Lemon / Elumbichai, 1, 40,2016-11-3
