,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Lemon, 1, 40,2017-7-2
1,Tomato/Thakkali 1st Quality, 1, 50 to 60,2017-7-2
2,Tomato/Thakkali 2nd Quality, 1, 45 to 55,2017-7-2
3,Small Onion, 1, 70 to 80,2017-7-2
4,Bellary (Big Onion), 1, 14 to 13,2017-7-2
5,Beans 1st Quality, –, 60 to 70,2017-7-2
6,Beans 2nd Quality, 1, 55 to 65,2017-7-2
7,Carrot 1st Quality, 1, 45 to 50,2017-7-2
8,Carrot 2nd Quality, 1, 40 to 45,2017-7-2
9,Vendai Kai/Lady Finger, 1, 35,2017-7-2
10,Maram Murungai, 1, –,2017-7-2
11,Chedi Murungai, 1, –,2017-7-2
12,Avarai Ottu, 1, 45 to 50,2017-7-2
13,Pachai Payaru, 1, 20,2017-7-2
14,Vellai Payaru, 1, 25,2017-7-2
15,Suraikai, 1, 11,2017-7-2
16,Beetroot, 1, 20 to 25,2017-7-2
17,Sunami Sambar, 1, 15,2017-7-2
18,Pusanikai, 1, 7,2017-7-2
19,Kalla Manga/Mango, 1, 40,2017-7-2
20,Orutu Manga/Mango, 1, 25,2017-7-2
21,Potato 1st Quality, 1, 12 to 15,2017-7-2
22,Potato 2nd Quality, 1, 10,2017-7-2
23,Coconut 1st Quality, –, 30 to 32,2017-7-2
24,Coconut 2nd Quality, –, 25 to 27,2017-7-2
25,Green Chilli, 1, 45 to 60,2017-7-2
26,Cauliflower 1st Quality, –, 30,2017-7-2
27,Cauliflower 2nd Quality, –, 25,2017-7-2
28,Katharikai Pachai, 1, 30,2017-7-2
29,Katharikai ootha, 1, 20,2017-7-2
30,Valai Thar, –, 32,2017-7-2
31,Karuveppilai/Curry Leaf, 1 Kattu, 30,2017-7-2
32,Pudalangai/Snake gourd 1st Quality, 1, 16,2017-7-2
33,Pudalangai/Snake gourd 2nd Quality, 1, 10,2017-7-2
34,Kothamalli 1st Quality, 1 kattu, 25,2017-7-2
35,Kothamalli 2nd Quality, 1 kattu, 20,2017-7-2
36,Mullangi 1st Quality, 1, 30,2017-7-2
37,Mullangi 2nd Quality, 1, 25,2017-7-2
38,Inji/Ginger, 1, 60,2017-7-2
39,Butter Beans, 1, 80 to 90,2017-7-2
40,Mutta Kose, 1, 12 to 15,2017-7-2
41,Pachai Pattani, 1, 70 to 80,2017-7-2
42,Pakarkai, 1, 25 to 30,2017-7-2
43,Nookal, 1, 40 to 50,2017-7-2
44,Chaw Chaw, 1, 17 to 20,2017-7-2
45,Kovakkai, 1, 20,2017-7-2
46,Kothavarangai, 1, 25 to 32,2017-7-2
47,Nellikai, 1, 45,2017-7-2
48,Narthangai, 1, 40 to50,2017-7-2
49,Vellarikai, 1, 20,2017-7-2
