Commodity, Weight in Kg, Price in Rs
Avarai Belt / அவரை (பெல்ட்), 1, 12
Avarai Kolee / அவரை (கோலி), 1, 12
Avarai ottu  / அவரை (ஒட்டு), 1, –
Beans / பீன்ஸ், 1, 11
Beetroot / பீட்ரூட், 1, 10
Bellary / பெல்லாரி, 1, 20
C Flower / காளிபிளவர், 1Flower, 10
C Vengayam / சின்னவெங்காயம், 1, 27
Chaw Chaw / சவ்சவ், 1, 06
Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 06
Kaththari Green / கத்தரி(பச்சை), 1, 08
Kothavarai / கொத்தவரை, 1, 09
Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 11
Milagai urundai / மிளகாய்(உருண்டை), 1, 15
Mullaingi / முள்ளங்கி, 1, 07
Murungai chedi / முருங்கை(செடி), 1, 125
Murungai Maram / முருங்கை(மரம்), 1, 115
Nelli / நெல்லி, 1, 15
Pavarkai / பாகற்காய், 1, 17
Perkangkai / பீர்க்கங்காய், 1, 12
Pudalai / புடலங்காய், 1, 05
Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 04
Sambar Vellari / சாம்பார் வெள்ளரி, 1, 03
Suraikai / சுரைக்காய், 1, 03
Thakkali / தக்காளி, 1, 02
Thatta payaru / தட்டப்பயிறு, 1, 08
Vendai / வெண்டைக்காய், 1, 12
