,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,Avarai Belt, 1, 56,2014-7-14
1,1,1,1,Avarai Kolee, 1, 35,2014-7-14
2,2,2,2,Avarai ottu, 1, –,2014-7-14
3,3,3,3,Beans, 1, 54,2014-7-14
4,4,4,4,Beetroot, 1, 25,2014-7-14
5,5,5,5,Bellary, 1, 25,2014-7-14
6,6,6,6,C Flower, 1Flower, 15,2014-7-14
7,7,7,7,C Vengayam, 1, 26,2014-7-14
8,8,8,8,Chaw Chaw, 1, 20,2014-7-14
9,9,9,9,Kaththari Disco, 1, 20,2014-7-14
10,10,10,10,Kaththari Green, 1, 20,2014-7-14
11,11,11,11,Kothavarai, 1, 21,2014-7-14
12,12,12,12,Milagai Sambar, 1, 19,2014-7-14
13,13,13,13,Milagai urundai, 1, 36,2014-7-14
14,14,14,14,Mullaingi, 1, 5,2014-7-14
15,15,15,15,Murungai chedi, 1, 49,2014-7-14
16,16,16,16,Murungai Maram, 1, 40,2014-7-14
17,17,17,17,Nelli, 1, 34,2014-7-14
18,18,18,18,Pavarkai, 1, 30,2014-7-14
19,19,19,19,Perkangkai, 1, 25,2014-7-14
20,20,20,20,Pudalai, 1, 15,2014-7-14
21,21,21,21,Red Pusanikkai, 1, 11,2014-7-14
22,22,22,22,Sambar Vellari, 1, 5,2014-7-14
23,23,23,23,Suraikai, 1, 6,2014-7-14
24,24,24,24,Thakkali, 1, 27,2014-7-14
25,25,25,25,Thatta payaru, 1, 14,2014-7-14
26,26,26,26,Vendai, 1, 23,2014-7-14
