Commodity, Weight in Kg, Price in Rs
Avarai Belt / அவரை (பெல்ட்), 1, 30
Avarai Kolee / அவரை (கோலி), 1, 46
Avarai ottu  / அவரை (ஒட்டு), 1, –
Beans / பீன்ஸ், 1, 35
Beetroot / பீட்ரூட், 1, 10
Bellary / பெல்லாரி, 1, 13
C Flower / காளிபிளவர், 1Flower, 11
C Vengayam / சின்னவெங்காயம், 1, 20
Chaw Chaw / சவ்சவ், 1, 25
Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 15
Kaththari Green / கத்தரி(பச்சை), 1, 15
Kothavarai / கொத்தவரை, 1, 20
Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 18
Milagai urundai / மிளகாய்(உருண்டை), 1, 35
Mullaingi / முள்ளங்கி, 1, 13
Murungai chedi / முருங்கை(செடி), 1, 11
Murungai Maram / முருங்கை(மரம்), 1, 05
Nelli / நெல்லி, 1, 28
Pavarkai / பாகற்காய், 1, 22
Perkangkai / பீர்க்கங்காய், 1, 20
Pudalai / புடலங்காய், 1, 11
Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 3.50
Sambar Vellari / சாம்பார் வெள்ளரி, 1, 06
Suraikai / சுரைக்காய், 1, 10
Thakkali / தக்காளி, 1, 07
Thatta payaru / தட்டப்பயிறு, 1, 20
Vendai / வெண்டைக்காய், 1, 15
