Commodity, Weight in Kg, Price in Rs
Avarai Belt, 1, 40
Avarai Kolee, 1, 30
Avarai ottu, 1, –
Beans, 1, 20
Beetroot, 1, 14
Bellary, 1, 16
C Flower, 1Flower, 11
C Vengayam, 1, 23
Chaw Chaw, 1, 25
Kaththari Disco, 1, 15
Kaththari Green, 1, 17
Kothavarai, 1, 20
Milagai Sambar, 1, 22
Milagai urundai, 1, 85
Mullaingi, 1, 6
Murungai chedi, 1, 20
Murungai Maram, 1, 10
Nelli, 1, 29
Pavarkai, 1, 20
Perkangkai, 1, 20
Pudalai, 1, 20
Red Pusanikkai, 1, 5
Sambar Vellari, 1, 06
Suraikai, 1, 10
Thakkali, 1, 6
Thatta payaru, 1, 20
Vendai, 1, 14
