,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Belt Beans / Avarai Belt, 1, 30,2016-7-27
1,1,1,Beans Kolee / Avarai Kolee, 1, 30,2016-7-27
2,2,2,Avarai ottu, 1, –,2016-7-27
3,3,3,Beans, 1, 50,2016-7-27
4,4,4,Beetroot, 1, 6,2016-7-27
5,5,5,Bellary / Big Onion, 1, 20,2016-7-27
6,6,6,Cauliflower, 1 Flower, 13,2016-7-27
7,7,7,Small Onion / Chinna Vengayam, 1, 15,2016-7-27
8,8,8,Chaw Chaw, 1, 22,2016-7-27
9,9,9,Disco Brinjal / Kaththari kai Disco, 1, 10,2016-7-27
10,10,10,Green Brinjal / Kaththari Kai Pachai, 1, 20,2016-7-27
11,11,11,Cluster Beans / Kothavarai, 1, 20,2016-7-27
12,12,12,Samba Chilli / Milagai Samba, 1, 15,2016-7-27
13,13,13,Round Chilli / Milagai Urundai, 1, 15,2016-7-27
14,14,14,Radish / Mullangi, 1, 9,2016-7-27
15,15,15,Drumstick / Murungai Chedi, 1, 30,2016-7-27
16,16,16,Drumstick / Murungai Maram, 1, 25,2016-7-27
17,17,17,Nelli Kai, 1, 23,2016-7-27
18,18,18,Bitter Gourd / Pakar kai, 1, –,2016-7-27
19,19,19,Perkangkai, 1, 20,2016-7-27
20,20,20,Snake Guard / Pudalai, 1, 10,2016-7-27
21,21,21,Red Pumpkin / Red Pusanikkai, 1, 5,2016-7-27
22,22,22,Sambar Vellari, 1, 8,2016-7-27
23,23,23,Bottle gourd / Suraikai, 1, 7,2016-7-27
24,24,24,Tomato / Thakkali, 1, 23,2016-7-27
25,25,25,Thatta payaru, 1, 40,2016-7-27
26,26,26,Lady’s Finger / Venda Kai, 1, 18,2016-7-27
27,27,27,Lemon / Elumbichai, 1, 70,2016-7-27
