,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Belt Beans / Avarai Belt, 1, 25,2016- 9-2
1,1,1,Beans Kolee / Avarai Kolee, 1, 25,2016- 9-2
2,2,2,Avarai ottu, 1, –,2016- 9-2
3,3,3,Beans, 1, 30,2016- 9-2
4,4,4,Beetroot, 1, 4,2016- 9-2
5,5,5,Bellary / Big Onion, 1, 20,2016- 9-2
6,6,6,Cauliflower, 1 Flower, 13,2016- 9-2
7,7,7,Small Onion / Chinna Vengayam, 1, 15,2016- 9-2
8,8,8,Chaw Chaw, 1, 20,2016- 9-2
9,9,9,Disco Brinjal / Kaththari kai Disco, 1, 15,2016- 9-2
10,10,10,Green Brinjal / Kaththari Kai Pachai, 1, 15,2016- 9-2
11,11,11,Cluster Beans / Kothavarai, 1, 8,2016- 9-2
12,12,12,Samba Chilli / Milagai Samba, 1, 20,2016- 9-2
13,13,13,Round Chilli / Milagai Urundai, 1, 20,2016- 9-2
14,14,14,Radish / Mullangi, 1, 9,2016- 9-2
15,15,15,Drumstick / Murungai Chedi, 1, 8,2016- 9-2
16,16,16,Drumstick / Murungai Maram, 1, 6,2016- 9-2
17,17,17,Nelli Kai, 1, 23,2016- 9-2
18,18,18,Bitter Gourd / Pakar kai, 1, –,2016- 9-2
19,19,19,Perkangkai, 1, 18,2016- 9-2
20,20,20,Snake Guard / Pudalai, 1, 10,2016- 9-2
21,21,21,Red Pumpkin / Red Pusanikkai, 1, 4,2016- 9-2
22,22,22,Sambar Vellari, 1, 3,2016- 9-2
23,23,23,Bottle gourd / Suraikai, 1, 4,2016- 9-2
24,24,24,Tomato / Thakkali, 1, 4,2016- 9-2
25,25,25,Thatta payaru, 1, 20,2016- 9-2
26,26,26,Lady’s Finger / Venda Kai, 1, 5,2016- 9-2
27,27,27,Lemon / Elumbichai, 1, 90,2016- 9-2
